patent_id	inventor_id
3885165	3885165-1
3885165	3885165-2
3885268	3885268-1
3885268	3885268-2
3885294	3885294-1
3885294	3885294-2
3885294	3885294-3
3885294	3885294-4
3885294	3885294-5
3885294	3885294-6
3885327	3885327-1
3885361	3866377-1
3885364	3885364-1
3885386	3885386-1
3885389	3885389-1
3885447	3885447-1
3885447	3885447-2
3885536	3885536-1
3885537	3885537-1
3885538	3885538-1
3885540	3885540-1
3885545	3885545-1
3885545	3885545-2
3885545	3872847-1
3885545	3885545-4
3885546	3885546-1
3885546	3885546-2
3885605	3885605-1
3885607	3885607-1
3885613	3885613-1
3885635	3885635-1
3885654	3885654-1
3885686	3885686-1
3885690	3885690-1
3885747	3885747-1
3885747	3885747-2
3885753	3885753-1
3885764	3885764-1
3885773	3885773-1
3885776	3866485-1
3885799	3860365-1
3885810	3885810-1
3885820	3885820-1
3885820	3885820-2
3885888	3885888-1
