number	inventor_id	assignee_id	date
4450639	4007861-2	e6347f3c634bf9324bd30393dbaeb7de	1984-05-29
4450727	4426887-2	9d9e3a523cd5a01eac01fd02815bd2c2	1984-05-29
4450727	4244213-1	9d9e3a523cd5a01eac01fd02815bd2c2	1984-05-29
4450727	4426887-2	9d9e3a523cd5a01eac01fd02815bd2c2	1984-05-29
4450727	4244213-1	9d9e3a523cd5a01eac01fd02815bd2c2	1984-05-29
4450741	3921504-1	a62fd617ba7fe54ccec361ce96fe0e82	1984-05-29
4450741	3921504-1	a62fd617ba7fe54ccec361ce96fe0e82	1984-05-29
4450748	4208941-1	ef194483bd10ab3630dd0be23a59e823	1984-05-29
4450748	4385543-2	ef194483bd10ab3630dd0be23a59e823	1984-05-29
4450748	4208941-1	ef194483bd10ab3630dd0be23a59e823	1984-05-29
4450748	4385543-2	ef194483bd10ab3630dd0be23a59e823	1984-05-29
4450772	4150299-2	293d0848c13429596d184af235eb3d0a	1984-05-29
4450772	4150299-2	293d0848c13429596d184af235eb3d0a	1984-05-29
4450786	4438724-2	e34d8ad7046461ead1e234d78645f6cb	1984-05-29
4450786	4369730-3	e34d8ad7046461ead1e234d78645f6cb	1984-05-29
4450786	4419533-3	e34d8ad7046461ead1e234d78645f6cb	1984-05-29
4450786	4438724-2	e34d8ad7046461ead1e234d78645f6cb	1984-05-29
4450786	4369730-3	e34d8ad7046461ead1e234d78645f6cb	1984-05-29
4450786	4419533-3	e34d8ad7046461ead1e234d78645f6cb	1984-05-29
4450974	4438484-1	da802fae97bc97fa36ad4c99690ca59c	1984-05-29
4450974	4438484-1	da802fae97bc97fa36ad4c99690ca59c	1984-05-29
4450975	4450975-1	c63120bd19cb9d6cb46a1398a22748fc	1984-05-29
4450975	4450975-2	c63120bd19cb9d6cb46a1398a22748fc	1984-05-29
4450975	4450975-1	c63120bd19cb9d6cb46a1398a22748fc	1984-05-29
4450975	4450975-2	c63120bd19cb9d6cb46a1398a22748fc	1984-05-29
4450983	4450983-1	484cf4363ef0a86bd74b60bee0956bb7	1984-05-29
