id	year(patent.date)	inventor_id	state
4061570	1977	3859119-1	OH
4061561	1977	3859119-1	CA
4061029	1977	3859119-1	CA
4061041	1977	3859119-1	VA
4062245	1977	3859119-1	CA
4065053	1977	3859119-1	CA
4064566	1977	3859119-1	CA
4066039	1978	3859119-1	CA
4067653	1978	3859119-1	CA
4067742	1978	3859119-1	NC
4069212	1978	3859119-1	MA
4068763	1978	3859119-1	NE
4070574	1978	3859119-1	PA
4072532	1978	3859119-1	CA
4075057	1978	3859119-1	MD
4078175	1978	3859119-1	TX
4078110	1978	3859119-1	CA
4077813	1978	3859119-1	CA
4077231	1978	3859119-1	CA
4079268	1978	3859119-1	CA
4078290	1978	3859119-1	TX
4084132	1978	3859119-1	CA
4085332	1978	3859119-1	CO
4085004	1978	3859119-1	CA
4088999	1978	3859119-1	CA
4088951	1978	3859119-1	FL
4088926	1978	3859119-1	WA
4088954	1978	3859119-1	VA
4091329	1978	3859119-1	VA
4092617	1978	3859119-1	CA
4092633	1978	3859119-1	CO
4092648	1978	3859119-1	CA
4092466	1978	3859119-1	CA
4091665	1978	3859119-1	CA
4091798	1978	3859119-1	CA
4092274	1978	3859119-1	CA
4091800	1978	3859119-1	CA
4093354	1978	3859119-1	NULL
4093771	1978	3859119-1	CA
4094758	1978	3859119-1	CA
4094943	1978	3859119-1	MA
3883436	1975	3859119-1	District o
4100531	1978	3859119-1	TX
4100487	1978	3859119-1	FL
3882719	1975	3859119-1	CA
4099799	1978	3859119-1	
4100331	1978	3859119-1	CA
4101961	1978	3859119-1	02
3882846	1975	3859119-1	TX
4101891	1978	3859119-1	CA
4102580	1978	3859119-1	AL
3882732	1975	3859119-1	CA
4103712	1978	3859119-1	MT
4103619	1978	3859119-1	CA
3883095	1975	3859119-1	CA
3883872	1975	3859119-1	CA
4107627	1978	3859119-1	CA
4109213	1978	3859119-1	FL
4110703	1978	3859119-1	VA
4112497	1978	3859119-1	CA
4111184	1978	3859119-1	CA
4111068	1978	3859119-1	CT
4112875	1978	3859119-1	CA
4118701	1978	3859119-1	TN
4118315	1978	3859119-1	CA
4119972	1978	3859119-1	TX
